date,mean_ndvi,year
16/10/2005,0.167931965,2005
01/11/2005,0.166032978,2005
17/11/2005,0.164857245,2005
03/12/2005,0.160547025,2005
19/12/2005,0.166580702,2005
01/01/2006,0.174268544,2006
17/01/2006,0.306580114,2006
02/02/2006,0.354443793,2006
18/02/2006,0.362167368,2006
06/03/2006,0.364096658,2006
22/03/2006,0.32862885,2006
07/04/2006,0.294842915,2006
23/04/2006,0.253139834,2006
09/05/2006,0.241479469,2006
25/05/2006,0.220793896,2006
10/06/2006,0.208527135,2006
26/06/2006,0.188872406,2006
12/07/2006,0.190440508,2006
28/07/2006,0.184166904,2006
13/08/2006,0.18241383,2006
29/08/2006,0.178463374,2006
14/09/2006,0.176430088,2006
30/09/2006,0.17851702,2006
16/10/2006,0.183852114,2006
01/11/2006,0.183064444,2006
17/11/2006,0.17384049,2006
03/12/2006,0.168148908,2006
19/12/2006,0.189701895,2006
01/01/2007,0.191466243,2007
17/01/2007,0.199816415,2007
02/02/2007,0.200667447,2007
18/02/2007,0.207823371,2007
06/03/2007,0.199382098,2007
22/03/2007,0.20052779,2007
07/04/2007,0.19727571,2007
23/04/2007,0.205140461,2007
09/05/2007,0.210012473,2007
25/05/2007,0.198435566,2007
10/06/2007,0.191496565,2007
26/06/2007,0.179203073,2007
12/07/2007,0.177307695,2007
28/07/2007,0.177145715,2007
13/08/2007,0.171763287,2007
29/08/2007,0.168355807,2007
14/09/2007,0.171084164,2007
30/09/2007,0.164313322,2007
16/10/2007,0.172111483,2007
01/11/2007,0.197699787,2007
17/11/2007,0.215713359,2007
03/12/2007,0.23304256,2007
19/12/2007,0.244420941,2007
01/01/2008,0.203043235,2008
17/01/2008,0.369703125,2008
02/02/2008,0.367977015,2008
18/02/2008,0.283625792,2008
05/03/2008,0.317884755,2008
21/03/2008,0.273731901,2008
06/04/2008,0.221955955,2008
22/04/2008,0.204214261,2008
08/05/2008,0.199724914,2008
24/05/2008,0.199976022,2008
09/06/2008,0.194017647,2008
25/06/2008,0.179436743,2008
11/07/2008,0.169011319,2008
27/07/2008,0.168213578,2008
12/08/2008,0.168721918,2008
28/08/2008,0.166145322,2008
13/09/2008,0.166669679,2008
29/09/2008,0.162334594,2008
15/10/2008,0.16286811,2008
31/10/2008,0.161412161,2008
16/11/2008,0.161660831,2008
02/12/2008,0.181823684,2008
18/12/2008,0.16892018,2008
01/01/2009,0.173453092,2009
17/01/2009,0.202645948,2009
02/02/2009,0.227655818,2009
18/02/2009,0.26797519,2009
06/03/2009,0.279123983,2009
22/03/2009,0.239776731,2009
07/04/2009,0.21651912,2009
23/04/2009,0.204447423,2009
09/05/2009,0.202454607,2009
25/05/2009,0.196392211,2009
10/06/2009,0.193007417,2009
26/06/2009,0.177744351,2009
12/07/2009,0.173313343,2009
28/07/2009,0.169974402,2009
13/08/2009,0.170957895,2009
29/08/2009,0.166985571,2009
14/09/2009,0.160303821,2009
30/09/2009,0.156981893,2009
16/10/2009,0.158110896,2009
01/11/2009,0.165960657,2009
17/11/2009,0.174650861,2009
03/12/2009,0.172575117,2009
19/12/2009,0.174209058,2009
01/01/2010,0.218399874,2010
17/01/2010,0.282560288,2010
02/02/2010,0.25047385,2010
18/02/2010,0.253676444,2010
06/03/2010,0.263474551,2010
22/03/2010,0.270011215,2010
07/04/2010,0.21983292,2010
23/04/2010,0.206107206,2010
09/05/2010,0.202542195,2010
25/05/2010,0.194391478,2010
10/06/2010,0.184046001,2010
26/06/2010,0.181195808,2010
12/07/2010,0.175865482,2010
28/07/2010,0.17332926,2010
13/08/2010,0.170111257,2010
29/08/2010,0.167624857,2010
14/09/2010,0.169197893,2010
30/09/2010,0.170129332,2010
16/10/2010,0.161928884,2010
01/11/2010,0.160776083,2010
17/11/2010,0.169953321,2010
03/12/2010,0.172723782,2010
19/12/2010,0.217300791,2010
01/01/2011,0.239944813,2011
17/01/2011,0.375747764,2011
02/02/2011,0.446162832,2011
18/02/2011,0.423852515,2011
06/03/2011,0.364288804,2011
22/03/2011,0.346770459,2011
07/04/2011,0.271776917,2011
23/04/2011,0.265486827,2011
09/05/2011,0.241179718,2011
25/05/2011,0.228888884,2011
10/06/2011,0.208311968,2011
26/06/2011,0.195702593,2011
12/07/2011,0.186220434,2011
28/07/2011,0.186236662,2011
13/08/2011,0.192182452,2011
29/08/2011,0.181154356,2011
14/09/2011,0.179915976,2011
30/09/2011,0.19303924,2011
16/10/2011,0.188609255,2011
01/11/2011,0.182725714,2011
17/11/2011,0.183277971,2011
03/12/2011,0.180176312,2011
19/12/2011,0.21322743,2011
01/01/2012,0.21783145,2012
17/01/2012,0.236583687,2012
02/02/2012,0.291356556,2012
18/02/2012,0.280849533,2012
05/03/2012,0.234469492,2012
21/03/2012,0.233460392,2012
06/04/2012,0.21816035,2012
22/04/2012,0.210162872,2012
08/05/2012,0.210508651,2012
24/05/2012,0.200054016,2012
09/06/2012,0.200701364,2012
25/06/2012,0.181245415,2012
11/07/2012,0.172957512,2012
27/07/2012,0.169893132,2012
12/08/2012,0.170751786,2012
28/08/2012,0.165984215,2012
13/09/2012,0.170517635,2012
29/09/2012,0.169818722,2012
15/10/2012,0.16607412,2012
31/10/2012,0.168860595,2012
16/11/2012,0.165936719,2012
02/12/2012,0.166524605,2012
18/12/2012,0.168552174,2012
01/01/2013,0.161498305,2013
17/01/2013,0.165226721,2013
02/02/2013,0.165964095,2013
18/02/2013,0.165352345,2013
06/03/2013,0.168454262,2013
22/03/2013,0.163367979,2013
07/04/2013,0.169734029,2013
23/04/2013,0.191121398,2013
09/05/2013,0.199676752,2013
25/05/2013,0.197430041,2013
10/06/2013,0.197953854,2013
26/06/2013,0.194278789,2013
12/07/2013,0.183786829,2013
28/07/2013,0.179405177,2013
13/08/2013,0.175093481,2013
29/08/2013,0.174659509,2013
14/09/2013,0.170144914,2013
30/09/2013,0.165537651,2013
16/10/2013,0.167802419,2013
01/11/2013,0.15913588,2013
17/11/2013,0.162515234,2013
03/12/2013,0.172900902,2013
19/12/2013,0.231870051,2013
01/01/2014,0.221267622,2014
17/01/2014,0.199123509,2014
02/02/2014,0.264347569,2014
18/02/2014,0.253009806,2014
06/03/2014,0.264691998,2014
22/03/2014,0.300898856,2014
07/04/2014,0.258782622,2014
23/04/2014,0.234513462,2014
09/05/2014,0.220969923,2014
25/05/2014,0.205018902,2014
10/06/2014,0.189123938,2014
26/06/2014,0.181733915,2014
12/07/2014,0.176999494,2014
28/07/2014,0.172844999,2014
13/08/2014,0.167796588,2014
29/08/2014,0.165124857,2014
14/09/2014,0.176673176,2014
30/09/2014,0.165198901,2014
16/10/2014,0.164615084,2014
01/11/2014,0.162971672,2014
17/11/2014,0.159876953,2014
03/12/2014,0.159577426,2014
19/12/2014,0.161670378,2014
01/01/2015,0.158492996,2015
17/01/2015,0.159805576,2015
02/02/2015,0.161575848,2015
18/02/2015,0.167690581,2015
06/03/2015,0.169478212,2015
22/03/2015,0.167462209,2015
07/04/2015,0.191060183,2015
23/04/2015,0.207124871,2015
09/05/2015,0.211846837,2015
25/05/2015,0.203372835,2015
10/06/2015,0.196586126,2015
26/06/2015,0.185739955,2015
12/07/2015,0.176910153,2015
28/07/2015,0.172406128,2015
13/08/2015,0.185370905,2015
29/08/2015,0.175662494,2015
14/09/2015,0.175564801,2015
30/09/2015,0.171326607,2015
16/10/2015,0.16635865,2015
01/11/2015,0.160051963,2015
17/11/2015,0.158281124,2015
03/12/2015,0.158219443,2015
19/12/2015,0.156665357,2015
01/01/2016,0.153385884,2016
17/01/2016,0.157078075,2016
02/02/2016,0.165158317,2016
18/02/2016,0.166703817,2016
05/03/2016,0.163944026,2016
21/03/2016,0.260014156,2016
06/04/2016,0.171086296,2016
22/04/2016,0.207842076,2016
08/05/2016,0.228149248,2016
24/05/2016,0.232470958,2016
09/06/2016,0.240588477,2016
25/06/2016,0.231209164,2016
11/07/2016,0.225114748,2016
27/07/2016,0.213588582,2016
12/08/2016,0.204333476,2016
28/08/2016,0.198192271,2016
13/09/2016,0.191733111,2016
29/09/2016,0.186969433,2016
15/10/2016,0.187301122,2016
31/10/2016,0.181393659,2016
16/11/2016,0.180181219,2016
02/12/2016,0.17524121,2016
18/12/2016,0.176324145,2016
01/01/2017,0.216804948,2017
17/01/2017,0.270633387,2017
02/02/2017,0.277913968,2017
18/02/2017,0.365527062,2017
06/03/2017,0.314756306,2017
22/03/2017,0.253589821,2017
07/04/2017,0.276764129,2017
23/04/2017,0.26087509,2017
09/05/2017,0.233507966,2017
25/05/2017,0.216371098,2017
10/06/2017,0.204961397,2017
26/06/2017,0.200653854,2017
12/07/2017,0.194260034,2017
28/07/2017,0.183660361,2017
13/08/2017,0.179960623,2017
29/08/2017,0.176727783,2017
14/09/2017,0.178111279,2017
30/09/2017,0.181718031,2017
16/10/2017,0.168972884,2017
01/11/2017,0.16358458,2017
17/11/2017,0.162399583,2017
03/12/2017,0.165608923,2017
19/12/2017,0.165759135,2017
01/01/2018,0.160433205,2018
17/01/2018,0.165899211,2018
02/02/2018,0.168791628,2018
18/02/2018,0.191332145,2018
06/03/2018,0.211315697,2018
22/03/2018,0.301828655,2018
07/04/2018,0.342336715,2018
23/04/2018,0.318489753,2018
09/05/2018,0.229983534,2018
25/05/2018,0.211590579,2018
10/06/2018,0.199056836,2018
26/06/2018,0.193407794,2018
12/07/2018,0.179562724,2018
28/07/2018,0.176762571,2018
13/08/2018,0.16899398,2018
29/08/2018,0.166334657,2018
14/09/2018,0.163798255,2018
30/09/2018,0.161669637,2018
16/10/2018,0.163785711,2018
01/11/2018,0.156528088,2018
17/11/2018,0.159063604,2018
03/12/2018,0.160093608,2018
19/12/2018,0.158582687,2018
01/01/2019,0.160801199,2019
17/01/2019,0.155526666,2019
02/02/2019,0.160699153,2019
18/02/2019,0.169752535,2019
06/03/2019,0.221346911,2019
22/03/2019,0.224653196,2019
07/04/2019,0.216292242,2019
23/04/2019,0.236089687,2019
09/05/2019,0.237981978,2019
25/05/2019,0.20993217,2019
10/06/2019,0.197204192,2019
26/06/2019,0.189428139,2019
12/07/2019,0.184397239,2019
28/07/2019,0.177746109,2019
13/08/2019,0.17395819,2019
29/08/2019,0.168780159,2019
14/09/2019,0.165499133,2019
30/09/2019,0.161898134,2019
16/10/2019,0.15833531,2019
01/11/2019,0.158856155,2019
17/11/2019,0.159266007,2019
03/12/2019,0.160504257,2019
19/12/2019,0.191055794,2019
01/01/2020,0.211858558,2020
17/01/2020,0.183007031,2020
02/02/2020,0.183717139,2020
18/02/2020,0.201685565,2020
05/03/2020,0.205625927,2020
21/03/2020,0.211907019,2020
06/04/2020,0.192890753,2020
22/04/2020,0.192023765,2020
08/05/2020,0.19021863,2020
24/05/2020,0.181280245,2020
09/06/2020,0.178781085,2020
25/06/2020,0.175334807,2020
11/07/2020,0.16809838,2020
27/07/2020,0.164599369,2020
12/08/2020,0.164324318,2020
28/08/2020,0.164028548,2020
13/09/2020,0.159480774,2020
29/09/2020,0.158384382,2020
15/10/2020,0.157935693,2020
31/10/2020,0.158104405,2020
16/11/2020,0.193523111,2020
02/12/2020,0.261309483,2020
18/12/2020,0.332741201,2020
01/01/2021,0.41829994,2021
17/01/2021,0.38024453,2021
02/02/2021,0.282090442,2021
18/02/2021,0.292865451,2021
06/03/2021,0.231903648,2021
22/03/2021,0.247949057,2021
07/04/2021,0.235557271,2021
23/04/2021,0.211332491,2021
09/05/2021,0.197098272,2021
25/05/2021,0.189977136,2021
10/06/2021,0.183343607,2021
26/06/2021,0.17612252,2021
12/07/2021,0.169922974,2021
28/07/2021,0.166416703,2021
13/08/2021,0.167317781,2021
29/08/2021,0.166824854,2021
14/09/2021,0.160271832,2021
30/09/2021,0.162424401,2021
16/10/2021,0.157604994,2021
01/11/2021,0.164441467,2021
17/11/2021,0.176960637,2021
03/12/2021,0.213481206,2021
19/12/2021,0.254062453,2021
01/01/2022,0.247359015,2022
17/01/2022,0.295553551,2022
02/02/2022,0.320314616,2022
18/02/2022,0.280237517,2022
06/03/2022,0.243416603,2022
22/03/2022,0.292303317,2022
07/04/2022,0.271852695,2022
23/04/2022,0.241513612,2022
09/05/2022,0.215795272,2022
25/05/2022,0.199026053,2022
10/06/2022,0.179800877,2022
26/06/2022,0.173144178,2022
12/07/2022,0.164749689,2022
28/07/2022,0.161871632,2022
13/08/2022,0.1585739,2022
29/08/2022,0.163436182,2022
14/09/2022,0.170866376,2022
30/09/2022,0.184131214,2022
16/10/2022,0.193189769,2022
01/11/2022,0.196337514,2022
17/11/2022,0.202263038,2022
03/12/2022,0.196335226,2022
19/12/2022,0.2230679,2022
01/01/2023,0.223622794,2023
17/01/2023,0.226870763,2023
02/02/2023,0.253218284,2023
18/02/2023,0.297652502,2023
06/03/2023,0.279625681,2023
22/03/2023,0.250951081,2023
07/04/2023,0.238249672,2023
23/04/2023,0.239142457,2023
09/05/2023,0.225735324,2023
25/05/2023,0.211040476,2023
10/06/2023,0.203613303,2023
26/06/2023,0.198353785,2023
12/07/2023,0.192096413,2023
28/07/2023,0.187420755,2023
13/08/2023,0.185388529,2023
29/08/2023,0.182302921,2023
14/09/2023,0.175725788,2023
30/09/2023,0.17446716,2023
16/10/2023,0.171833962,2023
01/11/2023,0.174828898,2023
17/11/2023,0.172623009,2023
03/12/2023,0.166952972,2023
19/12/2023,0.171100361,2023
01/01/2024,0.218216507,2024
17/01/2024,0.249454366,2024
